,sub,onset,offset,cat,tier,group,Group,latency,latency group
94,61,19.904,20.834,sì ,Caregiver voc,,2.0,0.9130000000000003,infant-cg
95,52,19.921,22.881,"come si fa, prendila tu con il piattino, posso? (QA DA QM)",Caregiver voc,,2.0,2.960000000000001,within person
96,1002,19.921,20.801,Che cosa?	 (QA),Caregiver voc,,3.0,0.6359999999999992,within person
97,1004,20.165,23.809,Pronti via bravo (AR AE) Oh (C),Caregiver voc,,3.0,3.2580000000000027,within person
98,59,20.551,22.772,"dai metti dentro, chiudi (DA DA)",Caregiver voc,,2.0,2.1709999999999994,within person
99,1,20.601,22.209,non ti piace questo gioco? (QO),Caregiver voc,,1.0,1.4469999999999992,within person
100,1007,20.762,22.455,Allora vediamo quello che c’è qua	(C W),Caregiver voc,,3.0,1.4849999999999994,within person
101,22,20.97,21.514,(v)ieni,Infant voc,,1.0,0.5129999999999981,cg-infant
102,1006,21.001,22.362,xxx,Infant voc,,3.0,1.0209999999999972,within person
103,10,21.341,22.005,a tati@c.,Infant voc,,1.0,0.09499999999999886,within person
104,57,21.91,22.709,xxx,Caregiver voc,,2.0,0.6849999999999987,infant-cg
105,1002,22.024,22.884,bvum,Infant voc,,3.0,0.8030000000000008,cg-infant
106,10,22.081,23.887,no i tati@c dai. (AD),Caregiver voc,,1.0,1.661999999999999,infant-cg
107,22,22.225,23.414,xxx,Caregiver voc,,1.0,1.125,within person
108,1006,22.289,23.798,Quanti colori (RE),Caregiver voc,,3.0,1.5059999999999967,within person
109,18,22.292,23.785,(a)spetta che questo si è aperto.	 (DA RE),Caregiver voc,,1.0,1.0440000000000005,within person
110,1007,22.741,24.459,Uh il trenino (C RE),Caregiver voc,,3.0,1.658999999999999,within person
111,1,22.8,23.55,no (CW),Infant voc,,1.0,0.5779999999999994,cg-infant
112,64,22.972,24.774,"vuoi fare il cavalluccio, vediamo (RO W) ",Caregiver voc,,2.0,1.7119999999999997,infant-cg
113,52,23.062,23.764,si (CW),Infant voc,,2.0,0.509999999999998,cg-infant
114,22,23.254,26.459,xxx,Infant voc,,1.0,3.0549999999999997,within person
115,61,23.404,24.474,sì la palla (C RE),Caregiver voc,,2.0,0.9649999999999999,infant-cg
116,1002,23.509,25.143,Che cosa?	(QE I),Caregiver voc,,3.0,1.5760000000000005,within person
117,1,23.567,24.411,no? (C),Caregiver voc,,1.0,0.6000000000000014,within person
118,1006,23.811,24.197,xxx,Infant voc,,3.0,0.33500000000000085,cg-infant
119,18,23.862,25.904,mettilo bene xxx mamma xxx. (DA I) dai (AE),Caregiver voc,,1.0,2.0139999999999993,infant-cg
120,10,23.89,24.996,questo chi è questo? (QE),Caregiver voc,,1.0,1.0919999999999987,within person
121,52,23.904,24.49,pronto? (QO),Caregiver voc,,2.0,0.1739999999999995,within person
122,1006,24.316,26.286,"Guarda guarda l’uccellino, guarda l’uccellino (DA)",Caregiver voc,,3.0,1.782,within person
123,61,24.504,26.326,xxx,Infant voc,,2.0,1.658999999999999,cg-infant
124,52,24.667,25.814,via (CW),Infant voc,,2.0,0.911999999999999,within person
125,1,24.902,26.467,pappa (CW),Infant voc,,1.0,1.5169999999999995,within person
126,1004,24.95,25.832,oh op (C),Caregiver voc,,3.0,0.41300000000000026,infant-cg
127,10,25.419,26.61,mio oh (CW),Infant voc,,1.0,0.9529999999999994,cg-infant
128,1007,25.657,27.075,Dove sta il trenino?	(QE),Caregiver voc,,3.0,1.3569999999999993,infant-cg
129,64,25.718,26.401,vediamo (RO W),Caregiver voc,,2.0,0.3719999999999999,within person
130,18,26.029,26.901,mettilo qua.	(DA),Caregiver voc,,1.0,0.8659999999999997,within person
131,52,26.035,26.55,pronti (AR),Caregiver voc,,2.0,0.45800000000000196,within person
132,61,26.092,26.991,Francesca,Caregiver voc,,2.0,0.8709999999999987,within person
133,1002,26.12,28.298,Come è bello! Il lupo	(RE),Caregiver voc,,3.0,2.0109999999999992,within person
134,1004,26.287,28.207,(fa versi),Caregiver voc,,3.0,1.8049999999999997,within person
135,64,26.402,28.834,"fammi sentire, Francesco, come fa il cavalluccio [verso cavallo] (DA NC QE OP) ",Caregiver voc,,2.0,2.4029999999999987,within person
136,1,26.431,27.123,non ti piace questo (RO),Caregiver voc,,1.0,0.6730000000000018,within person
137,22,26.45,30.196,vieni a trovare l’Elisa stasera con la mamma e il papà (NC RE),Caregiver voc,,1.0,3.7119999999999997,within person
138,10,26.484,31.201, ma tuo vuoi leggere tu ma guarda qua dietro chi c’è guarda qua dietro chi c’è chi è? (RE RA DA QE) ,Caregiver voc,,1.0,4.420999999999999,within person
139,52,26.78,28.021,via (CW),Infant voc,,2.0,1.0660000000000025,cg-infant
140,59,26.955,30.264,"metti dentro questo rosso, aspetta prima lascia aperto (DA DA)",Caregiver voc,,2.0,3.1400000000000006,infant-cg
141,1,27.124,28.485,non ti piacciono questi? (QO),Caregiver voc,,1.0,1.0150000000000006,within person
142,57,27.47,30.32,xxx,Caregiver voc,,2.0,2.7989999999999995,within person
143,1006,27.521,28.387,xxx,Infant voc,,3.0,-0.012999999999998124,cg-infant
144,18,28.4,29.798,dai.	 (C) mettilo sopra quello (DA),Caregiver voc,,1.0,1.3959999999999972,infant-cg
145,1006,28.402,29.458,L’uccellino ,Caregiver voc,,3.0,0.8629999999999995,within person
146,61,28.595,29.079,xxx,Infant voc,,2.0,0.4819999999999993,cg-infant
147,1,28.597,29.171,no (CW),Infant voc,,1.0,0.5629999999999988,within person
148,1007,28.608,30.651,Dove sta il trenino? Eccolo qua ( / C),Caregiver voc,,3.0,1.9589999999999996,infant-cg
149,1002,28.692,30.342,Questo è il lupo vedi a mamma (DA C),Caregiver voc,,3.0,1.4519999999999982,within person
150,64,28.89,30.438,xxx,Caregiver voc,,2.0,1.4529999999999994,within person
151,52,28.985,30.097,"ops, è scappata (C RE)",Caregiver voc,,2.0,1.0970000000000013,within person
152,1004,29.0,30.209,Ahi ahi (si tocca la testa come ha fatto il bimbo) (OP),Caregiver voc,,3.0,1.1209999999999987,within person
153,61,29.088,30.795,xxx giochiamo (W),Caregiver voc,,2.0,1.6240000000000023,within person
154,1,29.171,29.943,c’è il coperchio. (RE),Caregiver voc,,1.0,-0.0009999999999976694,within person
155,1,29.944,31.006,dov’era il coperchio?.(QE),Caregiver voc,,1.0,0.9160000000000004,within person
156,61,30.09,30.527,xxx,Infant voc,,2.0,0.08600000000000207,cg-infant
157,64,30.441,31.501,dai che lo sai fare [verso cavallo] (AE RO OP) ,Caregiver voc,,2.0,0.8440000000000012,infant-cg
158,1007,30.657,31.219,xxx,Infant voc,,3.0,0.5560000000000009,cg-infant
159,1004,30.663,35.003,"Facciamo dai, pronti	(W C AR) mettiamo via, la palla non è cosa (W RE)",Caregiver voc,,3.0,4.312999999999999,infant-cg
160,57,30.69,33.064,oh oh (C AR C),Caregiver voc,,2.0,2.3550000000000004,within person
161,1004,30.709,32.409,xxx,Infant voc,,3.0,1.6739999999999995,cg-infant
162,18,30.735,31.304,qua. (C),Caregiver voc,,1.0,0.5509999999999984,infant-cg
163,1002,30.753,32.399,Che cosa c’è ha in mano? Guarda	(QE DA),Caregiver voc,,3.0,1.6380000000000017,within person
164,61,30.761,31.321,xxx,Infant voc,,2.0,0.10900000000000176,cg-infant
165,22,31.212,33.0,xxx,Infant voc,,1.0,1.777000000000001,within person
166,1006,31.223,32.387,Pio pio pio (OP),Caregiver voc,,3.0,1.1449999999999996,infant-cg
167,59,31.242,32.727,mm quello rosso (C RE),Caregiver voc,,2.0,1.041999999999998,within person
168,52,31.685,34.495,"dai lanciala, così (DA C)",Caregiver voc,,2.0,2.7559999999999967,within person
169,1007,31.739,32.107,xxx,Caregiver voc,,3.0,0.3279999999999994,within person
170,64,31.779,32.883,xxx,Caregiver voc,,2.0,1.0890000000000022,within person
171,59,31.794,33.441,mmmmm,Infant voc,,2.0,1.642000000000003,cg-infant
172,61,31.799,32.854,vuoi giocare con la palla? (QA),Caregiver voc,,2.0,0.9009999999999998,infant-cg
173,10,31.953,33.11,piopio@o. (CWOP),Infant voc,,1.0,1.1389999999999993,cg-infant
174,21,31.971,33.905,xxx,Caregiver voc,,1.0,1.5009999999999977,infant-cg
175,1,32.404,32.826,bò,Infant voc,,1.0,0.11200000000000188,cg-infant
176,1007,32.714,33.124,xxx,Infant voc,,3.0,0.3200000000000003,within person
177,1002,32.804,33.806,Che cosa ha in mano?	(QE),Caregiver voc,,3.0,0.9189999999999969,infant-cg
178,64,32.887,33.836,dai fammelo sentire (DA),Caregiver voc,,2.0,0.6950000000000003,within person
179,10,33.141,33.984,piopio@o. (RE),Caregiver voc,,1.0,0.7959999999999994,within person
180,61,33.188,33.664,xxx,Infant voc,,2.0,0.30700000000000216,cg-infant
181,1007,33.357,34.789,Oh (C),Caregiver voc,,3.0,1.017000000000003,infant-cg
182,59,33.772,41.022,"guarda così uno, due e adesso va dentro (DA RE RE)",Caregiver voc,,2.0,7.177,within person
183,59,33.845,34.485,XXXX,Infant voc,,2.0,0.5050000000000026,cg-infant
184,57,33.98,35.028,xx,Caregiver voc,,2.0,0.9609999999999985,infant-cg
185,1001,34.067,35.173,Aspetta! (AD),Caregiver voc,,3.0,1.0720000000000027,within person
186,1,34.101,34.723, eccolo qua.(RE),Caregiver voc,,1.0,0.6139999999999972,within person
187,22,34.109,35.201,va bene vengo (RE),Caregiver voc,,1.0,0.7010000000000005,within person
188,52,34.5,36.321,"tu prendila, io te la lancio (DA RM)",Caregiver voc,,2.0,1.8159999999999954,within person
189,64,34.505,36.569,"se non me lo fai sentire, ti metto giù (RA RM) ",Caregiver voc,,2.0,2.020000000000003,within person
190,10,34.549,36.312,ma che piopio@o cavallino. (RE RE),Caregiver voc,,1.0,1.7139999999999986,within person
191,1002,34.598,38.007,Xxx (risata) la mano la mano	 (I AL RE),Caregiver voc,,3.0,3.314,within person
192,21,34.693,35.874,xxx,Caregiver voc,,1.0,1.1780000000000044,within person
193,61,34.696,35.46,xxx,Infant voc,,2.0,0.7190000000000012,cg-infant
194,1006,34.741,35.584,Il gattino miao (RE OP),Caregiver voc,,3.0,0.11400000000000432,infant-cg
195,57,35.47,36.57,xxx,Infant voc,,2.0,0.9759999999999991,cg-infant
196,1006,35.594,35.991,xxx,Infant voc,,3.0,0.39000000000000057,within person
197,1007,35.601,35.782,xxx,Infant voc,,3.0,0.1389999999999958,within person
198,1007,35.643,36.278,Gira (DA),Caregiver voc,,3.0,0.5,infant-cg
199,52,35.778,37.072,"no qui, xxx (CW)",Infant voc,,2.0,1.220000000000006,cg-infant
200,1004,35.852,37.712,Allora prendiamo il caffè (C W),Caregiver voc,,3.0,1.801000000000002,infant-cg
201,59,35.911,36.801,XXXX,Infant voc,,2.0,0.6750000000000043,cg-infant
202,57,36.126,38.47,oh oppi (C AR C),Caregiver voc,,2.0,2.1199999999999974,infant-cg
203,65,36.35,37.602,la bimba telefona (RE),Caregiver voc,,2.0,1.1280000000000001,within person
204,1007,36.474,40.737,Gira Chicco gira  (DA NC DA) Ah la gru	(C RE) Bimbi bimbi (RE),Caregiver voc,,3.0,4.248000000000005,within person
205,22,36.489,39.257,chi ti ha portato tutti questi bei giocattoli? (QE),Caregiver voc,,1.0,2.6809999999999974,within person
206,64,36.576,36.807,xxx,Caregiver voc,,2.0,0.16499999999999915,within person
207,60,36.642,37.879,che c’è qui Lollo? (QE	NE),Caregiver voc,,2.0,1.0769999999999982,within person
208,61,36.802,37.962,xxx,Infant voc,,2.0,0.9040000000000035,cg-infant
209,59,37.058,38.08,XXXX,Infant voc,,2.0,0.820999999999998,within person
210,52,37.259,39.066,per fare il thè il caffè (RE),Caregiver voc,,2.0,1.7020000000000053,infant-cg
211,1006,37.364,37.923,xxx,Infant voc,,3.0,0.44700000000000273,cg-infant
212,21,37.476,38.405,xxx,Caregiver voc,,1.0,0.919000000000004,infant-cg
213,64,37.486,40.039,"ti metto giù, ti metto giù?	 (QM) ",Caregiver voc,,2.0,2.440000000000005,within person
214,1,37.599,38.005,papa ,Infant voc,,1.0,0.38700000000000045,cg-infant
215,1007,37.618,38.424,xxx,Infant voc,,3.0,0.4170000000000016,within person
216,1002,38.007,39.213,xxx,Infant voc,,3.0,1.1129999999999995,within person
217,1004,38.1,42.709,Giriamo lo zucchero (W) Dai giriamo lo zucchero ( / ) tieni il cucchiaino dai (DA C),Caregiver voc,,3.0,4.489000000000004,infant-cg
218,64,38.22,38.807,xxx,Infant voc,,2.0,0.5290000000000035,cg-infant
219,65,38.278,39.35,pronto (AG),Caregiver voc,,2.0,1.0450000000000017,infant-cg
220,1,38.305,40.244,versiamo il tè qua nei bicchieri. (W),Caregiver voc,,1.0,1.8599999999999994,within person
221,60,38.384,40.007,"vediamo, un pò insieme con mamma (W)",Caregiver voc,,2.0,1.4869999999999948,within person
222,10,38.52,41.006,uh il trenino come fa il trenino? (C QE),Caregiver voc,,1.0,2.399000000000001,within person
223,21,38.607,39.195,xxx,Infant voc,,1.0,0.4960000000000022,cg-infant
224,61,38.699,41.211,cosa guardi le scarpe di mamma? (QA),Caregiver voc,,2.0,2.1259999999999977,infant-cg
225,22,39.085,40.64,: la maina,Infant voc,,1.0,1.5210000000000008,cg-infant
226,52,39.119,41.278,xxx,Infant voc,,2.0,1.8979999999999961,within person
227,21,39.38,43.248,raccogli quel libro alla mamma (DA) ,Caregiver voc,,1.0,3.762999999999998,infant-cg
228,1001,39.485,40.199,Uh! (C),Caregiver voc,,3.0,0.5959999999999965,within person
229,1002,39.603,40.206,xxx,Infant voc,,3.0,0.11200000000000188,cg-infant
230,65,40.094,40.85,pronto (AG),Caregiver voc,,2.0,0.16600000000000392,infant-cg
231,22,40.684,44.718,  la Marina e poi che cosa ti ha portato (RE QE),Caregiver voc,,1.0,3.807000000000002,within person
232,64,40.911,41.757,xxx,Infant voc,,2.0,0.7659999999999982,cg-infant
233,60,40.991,42.402,c’è il leone (RE),Caregiver voc,,2.0,1.350999999999999,infant-cg
234,10,41.051,41.6,ciuf@o.	(CWOP),Infant voc,,1.0,0.5350000000000037,cg-infant
235,1001,41.065,41.916,Ettore (NC),Caregiver voc,,3.0,0.7129999999999939,infant-cg
236,1,41.203,42.284,mescola bravo (DA AE),Caregiver voc,,1.0,1.0549999999999997,within person
237,1002,41.229,42.026,Pronto? (AG),Caregiver voc,,3.0,0.5260000000000034,within person
238,1007,41.5,43.801,Dove stanno i bimbi? (QE),Caregiver voc,,3.0,2.2719999999999985,within person
239,22,41.529,41.918,xxx,Infant voc,,1.0,0.36699999999999733,cg-infant
240,59,41.551,45.691,"apri apri, questo va dentro e dopo chiudi (DA RE DA)",Caregiver voc,,2.0,4.099000000000004,infant-cg
241,52,41.592,42.245,mmm (C),Caregiver voc,,2.0,0.6329999999999956,within person
242,61,41.612,43.975,xxx,Infant voc,,2.0,2.335000000000001,cg-infant
243,57,41.64,45.07,attento wroom (DA OP),Caregiver voc,,2.0,3.421999999999997,infant-cg
244,10,41.648,42.511,ciufciuf@o. (OP),Caregiver voc,,1.0,0.7660000000000053,within person
245,64,41.745,43.249,"dimmi come fa il cavalluccio,(DA NC DA) ",Caregiver voc,,2.0,1.3240000000000052,within person
246,65,41.925,42.807,ciao Tomi  (AG NC),Caregiver voc,,2.0,0.5230000000000032,within person
247,1,42.284,43.404,c’è qua lo zucchero (RE) ,Caregiver voc,,1.0,0.7280000000000015,within person
248,59,42.676,43.176,XXX,Infant voc,,2.0,0.17099999999999937,cg-infant
249,60,43.005,43.833,guarda il leone (DA),Caregiver voc,,2.0,0.7079999999999984,infant-cg
250,1004,43.125,44.605,Gira lo zucchero (DA),Caregiver voc,,3.0,1.4619999999999962,within person
251,10,43.143,44.43,e questa è la casetta? (QE),Caregiver voc,,1.0,1.176000000000002,within person
252,64,43.254,45.278,xxx ,Caregiver voc,,2.0,1.8710000000000022,within person
253,1,43.407,44.004,versa il tè (DA),Caregiver voc,,1.0,0.32399999999999807,within person
254,1001,43.68,45.545,Lo devi mettere qua mamma (botticelle) (DA C),Caregiver voc,,3.0,1.794000000000004,within person
255,60,43.751,45.398,xxx,Infant voc,,2.0,1.3950000000000031,cg-infant
256,1007,44.003,46.408,Fai vedere Chicchino dove stanno i bimbi (DA NC),Caregiver voc,,3.0,1.899000000000001,infant-cg
257,65,44.509,45.289,ciao Tomi (AG NC),Caregiver voc,,2.0,0.75,within person
258,22,44.539,45.398,xxx,Infant voc,,1.0,0.8540000000000063,cg-infant
259,21,44.544,45.69,cos’è questo (QE),Caregiver voc,,1.0,1.0940000000000012,infant-cg
260,61,44.596,46.513,andiamo giù sul  tappeto (W),Caregiver voc,,2.0,1.8569999999999993,within person
261,10,44.656,45.213,mm,Infant voc,,1.0,0.11200000000000188,cg-infant
262,1,45.101,46.41,oh xxx,Infant voc,,1.0,1.1219999999999999,within person
263,10,45.288,46.291, e questo chi è? (QE),Caregiver voc,,1.0,0.8859999999999957,infant-cg
264,60,45.405,48.283,"ah l’elefante bravo, amore	(C	RE	AE	NE)",Caregiver voc,,2.0,2.7560000000000002,within person
265,64,45.527,47.503,Franci me lo dici (DA NC DA),Caregiver voc,,2.0,1.9070000000000036,within person
266,1002,45.596,46.602,Ah ah (C),Caregiver voc,,3.0,0.894999999999996,within person
267,22,45.707,47.506,ah erano lì dentro (C RE) ,Caregiver voc,,1.0,1.5210000000000008,within person
268,59,45.985,46.551,XXX,Caregiver voc,,2.0,0.4660000000000011,within person
269,1004,46.085,47.663,gira lo zucchero ( / C),Caregiver voc,,3.0,1.2979999999999947,within person
270,10,46.365,47.271,bau@o.	(CWOP),Infant voc,,1.0,0.7530000000000001,cg-infant
271,1006,46.518,47.483,xxx,Infant voc,,3.0,0.8899999999999935,within person
272,1,46.593,47.807,xxx,Infant voc,,1.0,1.1430000000000007,within person
273,52,46.664,50.829,"no, devi, così, gioia, devi solo girare, gira amore (C DA NE DA NE)",Caregiver voc,,2.0,4.161000000000001,infant-cg
274,21,46.668,47.4,cap(p)l(l)o,Infant voc,,1.0,0.6409999999999982,cg-infant
275,65,46.759,48.233,guardiamo il libro	(W),Caregiver voc,,2.0,1.436,infant-cg
276,1001,46.797,48.321,"Bra(vo), metti questo	 (AE DA)",Caregiver voc,,3.0,1.2109999999999985,within person
277,59,47.11,48.088,XXX,Caregiver voc,,2.0,0.9690000000000012,within person
278,61,47.119,48.367,sul tappeto?	(QE),Caregiver voc,,2.0,1.0399999999999991,within person
279,10,47.327,49.284,il bau@o e questo? (RE QE),Caregiver voc,,1.0,1.8859999999999957,within person
280,1007,47.398,48.276,Bimbi (RE),Caregiver voc,,3.0,0.5760000000000005,within person
281,57,47.7,50.202,tira a mamma qua tira su (DA C),Caregiver voc,,2.0,2.4609999999999985,within person
282,21,47.741,48.329,cappello (RE),Caregiver voc,,1.0,0.44200000000000017,within person
283,22,47.887,50.346,te li ha tenuti nascosti (RE),Caregiver voc,,1.0,2.3459999999999965,within person
284,1,48.0,49.205,la bambina (CW),Infant voc,,1.0,1.1679999999999993,cg-infant
